# sample; mag1 in nT; mag2 in nT; grad in nT
7446622;43635.49985661400569;43682.57210550621676;-47.07224889221562
7446623;43638.92390431834065;43684.74933509738912;-45.82543077905613
7446624;43644.89659933948860;43687.54265608237620;-42.64605674287657
7446625;43647.71168026753003;43689.99722059868509;-42.28554033115741
7446626;43653.97761951152643;43693.66653323928767;-39.68891372775992
7446627;43655.21994260798238;43695.04352761247719;-39.82358500449081
7446628;43657.35934740278026;43694.91488789406867;-37.55554049129145
7446629;43652.42694242605648;43690.45494496319589;-38.02800253713603
7446630;43656.71470654018776;43692.79371939521661;-36.07901285503525
7446631;43658.07038941203064;43694.75572246176307;-36.68533304972593
7446632;43658.38937022914615;43693.16673421697487;-34.77736398782231
7446633;43656.80593760371266;43692.36958528951072;-35.56364768580304
7446634;43066.23967931216612;43019.42676108557498;46.81291822659707
7446635;nan;nan;nan
7446636;nan;nan;nan
7446637;nan;nan;nan
7446638;nan;nan;nan
7446639;nan;nan;nan
7446640;nan;nan;nan
7446641;nan;nan;nan
7446642;nan;nan;nan
7446643;nan;nan;nan
7446644;43321.81530378697789;43673.50948562090343;-351.69418183392833
7446645;43495.19643100385292;43685.71119103889941;-190.51476003505545
7446646;43575.48866803704732;43691.53592737503641;-116.04725933799399
7446647;43605.38561108677823;43693.86641434609919;-88.48080325932391
7446648;43623.75821022259333;43694.10607873371191;-70.34786851111819
7446649;43629.05032105650753;43690.63475262275460;-61.58443156625139
7446650;43638.91255957775866;43693.17001057894959;-54.25745100119244
7446651;43643.80533025162003;43694.88971929409308;-51.08438904247590
7446652;43646.67467419419700;43693.36374292444816;-46.68906873025320
7446653;43647.57025194343441;43693.08103585310164;-45.51078390967255
7446654;43646.56768109468976;43688.94308609412838;-42.37540499942705
7446655;43645.42192491169408;43687.60005269903195;-42.17812778733385
7446656;43643.06429240382568;43682.74524007936270;-39.68094767553605
7446657;43642.58266579049814;43682.50691862868553;-39.92425283819422
7446658;43643.91027019814646;43681.63596485089511;-37.72569465275318
7446659;43648.79530880546372;43686.98420203711430;-38.18889323165641
